Datetime,AEP_MW
2010-01-01,16370.541666666666
2010-01-02,18550.583333333332
2010-01-03,19328.291666666668
2010-01-04,20456.375
2010-01-05,20443.958333333332
2010-01-06,20076.458333333332
2010-01-07,19946.0
2010-01-08,20491.208333333332
2010-01-09,19173.25
2010-01-10,18889.458333333332
2010-01-11,20480.208333333332
2010-01-12,19419.333333333332
2010-01-13,19365.041666666668
2010-01-14,18488.333333333332
2010-01-15,17335.458333333332
2010-01-16,15881.083333333334
2010-01-17,15227.916666666666
2010-01-18,16714.833333333332
2010-01-19,16988.5
2010-01-20,17107.083333333332
2010-01-21,17641.541666666668
2010-01-22,16843.708333333332
2010-01-23,15230.416666666666
2010-01-24,14861.541666666666
2010-01-25,16273.666666666666
2010-01-26,18562.875
2010-01-27,18597.208333333332
2010-01-28,18120.291666666668
2010-01-29,19373.208333333332
2010-01-30,18889.125
2010-01-31,17986.125
2010-02-01,18669.583333333332
2010-02-02,18068.333333333332
2010-02-03,17645.875
2010-02-04,17847.083333333332
2010-02-05,18069.166666666668
2010-02-06,16956.416666666668
2010-02-07,17172.375
2010-02-08,18846.291666666668
2010-02-09,18778.25
2010-02-10,20011.916666666668
2010-02-11,19206.791666666668
2010-02-12,18718.791666666668
2010-02-13,17794.25
2010-02-14,16981.083333333332
2010-02-15,18916.541666666668
2010-02-16,19602.0
2010-02-17,18898.375
2010-02-18,18452.375
2010-02-19,17473.541666666668
2010-02-20,16561.375
2010-02-21,15252.916666666666
2010-02-22,16840.416666666668
2010-02-23,17076.666666666668
2010-02-24,17644.458333333332
2010-02-25,18953.875
2010-02-26,18988.208333333332
2010-02-27,17208.041666666668
2010-02-28,16330.708333333334
2010-03-01,17148.666666666668
2010-03-02,17936.625
2010-03-03,17969.333333333332
2010-03-04,17403.041666666668
2010-03-05,17351.25
2010-03-06,15923.5
2010-03-07,15098.208333333334
2010-03-08,15662.125
2010-03-09,15527.333333333334
2010-03-10,14822.333333333334
2010-03-11,14850.041666666666
2010-03-12,14273.625
2010-03-13,13881.708333333334
2010-03-14,14027.304347826086
2010-03-15,15741.458333333334
2010-03-16,15439.041666666666
2010-03-17,14997.125
2010-03-18,14684.083333333334
2010-03-19,14452.125
2010-03-20,13270.333333333334
2010-03-21,12749.333333333334
2010-03-22,14878.916666666666
2010-03-23,15878.708333333334
2010-03-24,15086.333333333334
2010-03-25,14974.875
2010-03-26,15613.875
2010-03-27,14753.875
2010-03-28,13869.041666666666
2010-03-29,15114.833333333334
2010-03-30,15065.75
2010-03-31,14755.833333333334
2010-04-01,14000.0
2010-04-02,12999.791666666666
2010-04-03,11961.125
2010-04-04,11567.166666666666
2010-04-05,13660.083333333334
2010-04-06,14445.583333333334
2010-04-07,14342.833333333334
2010-04-08,14027.75
2010-04-09,14123.916666666666
2010-04-10,13238.0
2010-04-11,12407.166666666666
2010-04-12,13887.041666666666
2010-04-13,13971.958333333334
2010-04-14,13940.833333333334
2010-04-15,14206.625
2010-04-16,13721.208333333334
2010-04-17,12407.5
2010-04-18,12478.75
2010-04-19,13870.5
2010-04-20,13764.375
2010-04-21,13622.375
2010-04-22,13798.75
2010-04-23,13588.166666666666
2010-04-24,12639.458333333334
2010-04-25,12179.708333333334
2010-04-26,13935.875
2010-04-27,14297.666666666666
2010-04-28,14588.625
2010-04-29,14413.375
2010-04-30,14049.541666666666
2010-05-01,12956.375
2010-05-02,12878.0
2010-05-03,14460.958333333334
2010-05-04,14351.166666666666
2010-05-05,14521.0
2010-05-06,14375.875
2010-05-07,14326.833333333334
2010-05-08,12829.833333333334
2010-05-09,12082.083333333334
2010-05-10,14124.125
2010-05-11,14404.583333333334
2010-05-12,14176.708333333334
2010-05-13,14607.916666666666
2010-05-14,14739.875
2010-05-15,13134.916666666666
2010-05-16,12378.416666666666
2010-05-17,13917.583333333334
2010-05-18,13993.666666666666
2010-05-19,13835.666666666666
2010-05-20,14251.041666666666
2010-05-21,14079.166666666666
2010-05-22,13120.083333333334
2010-05-23,13246.333333333334
2010-05-24,15765.791666666666
2010-05-25,16194.958333333334
2010-05-26,16688.541666666668
2010-05-27,17009.416666666668
2010-05-28,16379.833333333334
2010-05-29,14740.541666666666
2010-05-30,14639.833333333334
2010-05-31,14690.541666666666
2010-06-01,16109.416666666666
2010-06-02,16598.041666666668
2010-06-03,16449.708333333332
2010-06-04,16581.333333333332
2010-06-05,15432.375
2010-06-06,14201.166666666666
2010-06-07,14555.291666666666
2010-06-08,14570.416666666666
2010-06-09,14977.708333333334
2010-06-10,16038.625
2010-06-11,16148.958333333334
2010-06-12,15549.125
2010-06-13,15135.75
2010-06-14,17087.333333333332
2010-06-15,17685.291666666668
2010-06-16,17483.375
2010-06-17,16740.875
2010-06-18,16839.541666666668
2010-06-19,16163.416666666666
2010-06-20,15679.291666666666
2010-06-21,17330.083333333332
2010-06-22,18073.333333333332
2010-06-23,18459.458333333332
2010-06-24,17965.916666666668
2010-06-25,17382.041666666668
2010-06-26,16707.708333333332
2010-06-27,16828.875
2010-06-28,17736.166666666668
2010-06-29,16489.0
2010-06-30,15360.125
2010-07-01,14887.958333333334
2010-07-02,14619.125
2010-07-03,14030.958333333334
2010-07-04,15023.041666666666
2010-07-05,17061.541666666668
2010-07-06,18609.416666666668
2010-07-07,18911.458333333332
2010-07-08,19035.083333333332
2010-07-09,17400.333333333332
2010-07-10,15996.708333333334
2010-07-11,15773.75
2010-07-12,17183.666666666668
2010-07-13,16991.083333333332
2010-07-14,17821.333333333332
2010-07-15,18693.666666666668
2010-07-16,18526.333333333332
2010-07-17,16923.708333333332
2010-07-18,16386.25
2010-07-19,18221.958333333332
2010-07-20,18149.0
2010-07-21,18297.041666666668
2010-07-22,18823.25
2010-07-23,20014.25
2010-07-24,18909.166666666668
2010-07-25,17116.333333333332
2010-07-26,17819.875
2010-07-27,17847.875
2010-07-28,18823.25
2010-07-29,18377.208333333332
2010-07-30,16631.0
2010-07-31,14881.708333333334
2010-08-01,14955.583333333334
2010-08-02,17793.458333333332
2010-08-03,18263.333333333332
2010-08-04,18661.083333333332
2010-08-05,18124.666666666668
2010-08-06,17066.375
2010-08-07,15232.083333333334
2010-08-08,15286.0
2010-08-09,18287.791666666668
2010-08-10,19493.875
2010-08-11,19296.583333333332
2010-08-12,19348.666666666668
2010-08-13,19237.666666666668
2010-08-14,17467.708333333332
2010-08-15,16779.666666666668
2010-08-16,18029.5
2010-08-17,17197.5
2010-08-18,16950.333333333332
2010-08-19,17484.125
2010-08-20,18078.125
2010-08-21,15964.25
2010-08-22,15474.958333333334
2010-08-23,16500.333333333332
2010-08-24,15967.125
2010-08-25,16346.5
2010-08-26,15789.875
2010-08-27,15398.416666666666
2010-08-28,14847.041666666666
2010-08-29,15681.666666666666
2010-08-30,18366.708333333332
2010-08-31,18656.041666666668
2010-09-01,18235.583333333332
2010-09-02,18203.083333333332
2010-09-03,16526.125
2010-09-04,12755.166666666666
2010-09-05,11968.875
2010-09-06,12902.625
2010-09-07,16128.708333333334
2010-09-08,15439.458333333334
2010-09-09,14558.5
2010-09-10,14327.625
2010-09-11,13133.208333333334
2010-09-12,13095.791666666666
2010-09-13,15058.166666666666
2010-09-14,15245.708333333334
2010-09-15,15074.791666666666
2010-09-16,15186.333333333334
2010-09-17,14512.625
2010-09-18,13335.333333333334
2010-09-19,13373.083333333334
2010-09-20,15152.166666666666
2010-09-21,15941.958333333334
2010-09-22,16472.708333333332
2010-09-23,16922.333333333332
2010-09-24,17034.583333333332
2010-09-25,13800.75
2010-09-26,12165.0
2010-09-27,13877.833333333334
2010-09-28,14035.25
2010-09-29,14028.041666666666
2010-09-30,14098.833333333334
2010-10-01,13613.166666666666
2010-10-02,12613.0
2010-10-03,12331.833333333334
2010-10-04,13982.083333333334
2010-10-05,14239.0
2010-10-06,14218.083333333334
2010-10-07,14039.083333333334
2010-10-08,13863.416666666666
2010-10-09,12855.041666666666
2010-10-10,12531.958333333334
2010-10-11,14350.791666666666
2010-10-12,14303.625
2010-10-13,14130.958333333334
2010-10-14,13972.625
2010-10-15,13970.875
2010-10-16,13078.291666666666
2010-10-17,12493.708333333334
2010-10-18,14093.083333333334
2010-10-19,14243.666666666666
2010-10-20,14333.833333333334
2010-10-21,14447.333333333334
2010-10-22,14456.458333333334
2010-10-23,13275.125
2010-10-24,12295.791666666666
2010-10-25,13946.333333333334
2010-10-26,14261.625
2010-10-27,14260.791666666666
2010-10-28,14362.5
2010-10-29,14407.958333333334
2010-10-30,13835.125
2010-10-31,12901.875
